sample_id,v_A,v_B,mechanism,reserve_regime,reserve,bid_A,bid_B,winner,no_allocation,payment,winner_value,winner_utility,user_compensation,highest_value_platform,highest_value_platform_won,allocative_efficiency,efficient_given_allocation
0,0.8590731872829143,0.9412268396025271,first_price,locked,0.5,0.5750422407160112,0.6034188124447485,B,False,0.6034188124447485,0.9412268396025271,0.3378080271577786,0.6034188124447485,B,True,1.0,1.0
1,0.2362183924572261,0.6787825442456612,first_price,locked,0.5,,0.5235445050833422,B,False,0.5235445050833422,0.6787825442456612,0.15523803916231904,0.5235445050833422,B,True,1.0,1.0
2,0.980543205345165,0.10647728395927636,first_price,locked,0.5,0.6177519618434956,,A,False,0.6177519618434956,0.980543205345165,0.36279124350166947,0.6177519618434956,A,True,1.0,1.0
3,0.4862863009385532,0.956191760759899,first_price,locked,0.5,,0.6088227963917133,B,False,0.6088227963917133,0.956191760759899,0.34736896436818565,0.6088227963917133,B,True,1.0,1.0
4,0.6528786851950356,0.24457780440324572,first_price,locked,0.5,0.5178991081474661,,A,False,0.5178991081474661,0.6528786851950356,0.13497957704756947,0.5178991081474661,A,True,1.0,1.0
5,0.15638156806801617,0.12362349739914524,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
6,0.6458246662193923,0.07102702133529726,first_price,locked,0.5,0.5164633176698561,,A,False,0.5164633176698561,0.6458246662193923,0.12936134854953618,0.5164633176698561,A,True,1.0,1.0
7,0.11058094237508886,0.10974701087464911,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
8,0.44019556186189424,0.9632868976504203,first_price,locked,0.5,,0.6114074893253882,B,False,0.6114074893253882,0.9632868976504203,0.35187940832503206,0.6114074893253882,B,True,1.0,1.0
9,0.23759987295431606,0.023594128894156463,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
10,0.20265514445609456,0.6607414494941878,first_price,locked,0.5,,0.5195521361685966,B,False,0.5195521361685966,0.6607414494941878,0.14118931332559115,0.5195521361685966,B,True,1.0,1.0
11,0.8077555902441371,0.42317148692289663,first_price,locked,0.5,0.558627575265614,,A,False,0.558627575265614,0.8077555902441371,0.2491280149785231,0.558627575265614,A,True,1.0,1.0
12,0.22397886182321647,0.059241648613108655,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
13,0.34684481302478287,0.7393842425706972,first_price,locked,0.5,,0.5387517154760484,B,False,0.5387517154760484,0.7393842425706972,0.20063252709464885,0.5387517154760484,B,True,1.0,1.0
14,0.19484209792223206,0.6726955621360392,first_price,locked,0.5,,0.5221673509237833,B,False,0.5221673509237833,0.6726955621360392,0.1505282112122559,0.5221673509237833,B,True,1.0,1.0
15,0.7311453587000503,0.5675944114113629,first_price,locked,0.5,0.53653731519514,0.5040248849902234,A,False,0.53653731519514,0.7311453587000503,0.19460804350491023,0.53653731519514,A,True,1.0,1.0
16,0.7755902320148101,0.26410642340273816,first_price,locked,0.5,0.5489626950204592,,A,False,0.5489626950204592,0.7755902320148101,0.2266275369943509,0.5489626950204592,A,True,1.0,1.0
17,0.07722556088821719,0.5053263824920392,first_price,locked,0.5,,0.5000280713133476,B,False,0.5000280713133476,0.5053263824920392,0.005298311178691617,0.5000280713133476,B,True,1.0,1.0
18,0.4002450162910588,0.2932002694562976,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
19,0.6838680097814209,0.9149490986939306,first_price,locked,0.5,0.5247178143570324,0.5940941713329695,B,False,0.5940941713329695,0.9149490986939306,0.3208549273609611,0.5940941713329695,B,True,1.0,1.0
20,0.3152329886058217,0.8145098362535278,first_price,locked,0.5,,0.5607214503112715,B,False,0.5607214503112715,0.8145098362535278,0.2537883859422563,0.5607214503112715,B,True,1.0,1.0
21,0.5343808044205921,0.5866383287178556,first_price,locked,0.5,0.5011059900569301,0.5063976385752262,B,False,0.5063976385752262,0.5866383287178556,0.08024069014262936,0.5063976385752262,B,True,1.0,1.0
22,0.4059833023740095,0.16300091792777804,first_price,locked,0.5,,,None,True,0.0,0.0,0.0,0.0,A,False,0.0,
23,0.6650345627678655,0.38146608218300726,first_price,locked,0.5,0.5204774371384722,,A,False,0.5204774371384722,0.6650345627678655,0.14455712562939338,0.5204774371384722,A,True,1.0,1.0
