p,tau,strategy_A,strategy_B,symmetric,is_bne,max_deviation_gain,expected_payoff_A,expected_payoff_B
0.01,0.0,LL,LL,True,True,0.0,0.0,0.0
0.01,0.0,LL,PL,False,False,1.2,0.01,-0.012
0.01,0.0,LL,LP,False,False,2.2,0.99,-2.178
0.01,0.0,LL,PP,False,False,2.2,1.0,-2.19
0.01,0.0,PL,LL,False,False,1.2,-0.012,0.01
0.01,0.0,PL,PL,True,False,1.18,-0.0017999999999999995,-0.0017999999999999995
0.01,0.0,PL,LP,False,False,2.1799999999999997,0.9978,-2.1481999999999997
0.01,0.0,PL,PP,False,False,2.1799999999999997,1.008,-2.1599999999999997
0.01,0.0,LP,LL,False,False,2.2,-2.178,0.99
0.01,0.0,LP,PL,False,False,2.1799999999999997,-2.1481999999999997,0.9978
0.01,0.0,LP,LP,True,False,0.7799999999999998,0.7721999999999998,0.7721999999999998
0.01,0.0,LP,PP,False,False,0.8,0.802,0.7799999999999998
0.01,0.0,PP,LL,False,False,2.2,-2.19,1.0
0.01,0.0,PP,PL,False,False,2.1799999999999997,-2.1599999999999997,1.008
0.01,0.0,PP,LP,False,False,0.8,0.7799999999999998,0.802
0.01,0.0,PP,PP,True,False,0.19999999999999996,0.81,0.81
0.01,0.05,LL,LL,True,True,0.0,0.0,0.0
0.01,0.05,LL,PL,False,False,1.15,0.01,-0.0115
0.01,0.05,LL,LP,False,False,2.1500000000000004,0.99,-2.1285000000000003
0.01,0.05,LL,PP,False,False,2.1500000000000004,1.0,-2.14
0.01,0.05,PL,LL,False,False,1.15,-0.0115,0.01
0.01,0.05,PL,PL,True,False,1.13,-0.001299999999999999,-0.001299999999999999
0.01,0.05,PL,LP,False,False,2.13,0.9983,-2.0987
0.01,0.05,PL,PP,False,False,2.13,1.0085,-2.1100000000000003
0.01,0.05,LP,LL,False,False,2.1500000000000004,-2.1285000000000003,0.99
0.01,0.05,LP,PL,False,False,2.13,-2.0987,0.9983
0.01,0.05,LP,LP,True,False,0.8299999999999998,0.8216999999999999,0.8216999999999999
0.01,0.05,LP,PP,False,False,0.8500000000000001,0.8515,0.8299999999999998
0.01,0.05,PP,LL,False,False,2.1500000000000004,-2.14,1.0
0.01,0.05,PP,PL,False,False,2.13,-2.1100000000000003,1.0085
0.01,0.05,PP,LP,False,False,0.8500000000000001,0.8299999999999998,0.8515
0.01,0.05,PP,PP,True,False,0.1499999999999999,0.86,0.86
0.01,0.1,LL,LL,True,True,0.0,0.0,0.0
0.01,0.1,LL,PL,False,False,1.0999999999999999,0.01,-0.011
0.01,0.1,LL,LP,False,False,2.1,0.99,-2.079
0.01,0.1,LL,PP,False,False,2.1,1.0,-2.0900000000000003
0.01,0.1,PL,LL,False,False,1.0999999999999999,-0.011,0.01
0.01,0.1,PL,PL,True,False,1.0799999999999998,-0.0007999999999999986,-0.0007999999999999986
0.01,0.1,PL,LP,False,False,2.0799999999999996,0.9988,-2.0491999999999995
0.01,0.1,PL,PP,False,False,2.0799999999999996,1.009,-2.0599999999999996
0.01,0.1,LP,LL,False,False,2.1,-2.079,0.99
0.01,0.1,LP,PL,False,False,2.0799999999999996,-2.0491999999999995,0.9988
0.01,0.1,LP,LP,True,False,0.8799999999999999,0.8711999999999998,0.8711999999999998
0.01,0.1,LP,PP,False,False,0.9000000000000001,0.901,0.8799999999999998
0.01,0.1,PP,LL,False,False,2.1,-2.0900000000000003,1.0
0.01,0.1,PP,PL,False,False,2.0799999999999996,-2.0599999999999996,1.009
0.01,0.1,PP,LP,False,False,0.9000000000000001,0.8799999999999998,0.901
0.01,0.1,PP,PP,True,False,0.09999999999999998,0.91,0.91
0.01,0.15,LL,LL,True,True,0.0,0.0,0.0
0.01,0.15,LL,PL,False,False,1.05,0.01,-0.0105
0.01,0.15,LL,LP,False,False,2.0500000000000003,0.99,-2.0295
0.01,0.15,LL,PP,False,False,2.0500000000000003,1.0,-2.04
0.01,0.15,PL,LL,False,False,1.05,-0.0105,0.01
0.01,0.15,PL,PL,True,False,1.03,-0.0002999999999999999,-0.0002999999999999999
0.01,0.15,PL,LP,False,False,2.03,0.9993,-1.9997
0.01,0.15,PL,PP,False,False,2.03,1.0095,-2.0100000000000002
0.01,0.15,LP,LL,False,False,2.0500000000000003,-2.0295,0.99
0.01,0.15,LP,PL,False,False,2.03,-1.9997,0.9993
0.01,0.15,LP,LP,True,False,0.9299999999999997,0.9206999999999999,0.9206999999999999
0.01,0.15,LP,PP,False,False,0.95,0.9505,0.9299999999999998
0.01,0.15,PP,LL,False,False,2.0500000000000003,-2.04,1.0
0.01,0.15,PP,PL,False,False,2.03,-2.0100000000000002,1.0095
0.01,0.15,PP,LP,False,False,0.95,0.9299999999999998,0.9505
0.01,0.15,PP,PP,True,False,0.04999999999999993,0.96,0.96
0.01,0.2,LL,LL,True,True,0.0,0.0,0.0
0.01,0.2,LL,PL,False,False,1.0,0.01,-0.01
0.01,0.2,LL,LP,False,False,2.0,0.99,-1.98
0.01,0.2,LL,PP,False,False,2.0,1.0,-1.99
0.01,0.2,PL,LL,False,False,1.0,-0.01,0.01
0.01,0.2,PL,PL,True,False,0.98,0.00020000000000000052,0.00020000000000000052
0.01,0.2,PL,LP,False,False,1.98,0.9998,-1.9502
0.01,0.2,PL,PP,False,False,1.98,1.01,-1.96
0.01,0.2,LP,LL,False,False,2.0,-1.98,0.99
0.01,0.2,LP,PL,False,False,1.98,-1.9502,0.9998
0.01,0.2,LP,LP,True,False,0.9799999999999998,0.9701999999999997,0.9701999999999997
0.01,0.2,LP,PP,False,False,1.0,1.0,0.9799999999999998
0.01,0.2,PP,LL,False,False,2.0,-1.99,1.0
0.01,0.2,PP,PL,False,False,1.98,-1.96,1.01
0.01,0.2,PP,LP,False,False,1.0,0.9799999999999998,1.0
0.01,0.2,PP,PP,True,True,0.0,1.01,1.01
0.01,0.25,LL,LL,True,True,0.0,0.0,0.0
0.01,0.25,LL,PL,False,False,0.95,0.01,-0.0095
0.01,0.25,LL,LP,False,False,1.9500000000000002,0.99,-1.9305
0.01,0.25,LL,PP,False,False,1.9500000000000002,1.0,-1.9400000000000002
0.01,0.25,PL,LL,False,False,0.95,-0.0095,0.01
0.01,0.25,PL,PL,True,False,0.9299999999999999,0.000700000000000001,0.000700000000000001
0.01,0.25,PL,LP,False,False,1.93,1.0003,-1.9006999999999998
0.01,0.25,PL,PP,False,False,1.93,1.0105,-1.91
0.01,0.25,LP,LL,False,False,1.9500000000000002,-1.9305,0.99
0.01,0.25,LP,PL,False,False,1.93,-1.9006999999999998,1.0003
0.01,0.25,LP,LP,True,False,1.0299999999999996,1.0196999999999998,1.0196999999999998
0.01,0.25,LP,PP,False,False,1.0499999999999998,1.0495,1.0299999999999998
0.01,0.25,PP,LL,False,False,1.9500000000000002,-1.9400000000000002,1.0
0.01,0.25,PP,PL,False,False,1.93,-1.91,1.0105
0.01,0.25,PP,LP,False,False,1.0499999999999998,1.0299999999999998,1.0495
0.01,0.25,PP,PP,True,True,0.0,1.06,1.06
0.01,0.3,LL,LL,True,True,0.0,0.0,0.0
0.01,0.3,LL,PL,False,False,0.8999999999999999,0.01,-0.009
0.01,0.3,LL,LP,False,False,1.9000000000000001,0.99,-1.881
0.01,0.3,LL,PP,False,False,1.9000000000000001,1.0,-1.89
0.01,0.3,PL,LL,False,False,0.8999999999999999,-0.009,0.01
0.01,0.3,PL,PL,True,False,0.8799999999999999,0.0012000000000000014,0.0012000000000000014
0.01,0.3,PL,LP,False,False,1.88,1.0008,-1.8512
0.01,0.3,PL,PP,False,False,1.88,1.011,-1.8599999999999999
0.01,0.3,LP,LL,False,False,1.9000000000000001,-1.881,0.99
0.01,0.3,LP,PL,False,False,1.88,-1.8512,1.0008
0.01,0.3,LP,LP,True,False,1.0799999999999998,1.0692,1.0692
0.01,0.3,LP,PP,False,False,1.1,1.099,1.0799999999999998
0.01,0.3,PP,LL,False,False,1.9000000000000001,-1.89,1.0
0.01,0.3,PP,PL,False,False,1.88,-1.8599999999999999,1.011
0.01,0.3,PP,LP,False,False,1.1,1.0799999999999998,1.099
0.01,0.3,PP,PP,True,True,0.0,1.1099999999999999,1.1099999999999999
0.01,0.35,LL,LL,True,True,0.0,0.0,0.0
0.01,0.35,LL,PL,False,False,0.85,0.01,-0.0085
0.01,0.35,LL,LP,False,False,1.85,0.99,-1.8315000000000001
0.01,0.35,LL,PP,False,False,1.85,1.0,-1.84
0.01,0.35,PL,LL,False,False,0.85,-0.0085,0.01
0.01,0.35,PL,PL,True,False,0.83,0.0017000000000000019,0.0017000000000000019
0.01,0.35,PL,LP,False,False,1.8299999999999998,1.0013,-1.8016999999999999
0.01,0.35,PL,PP,False,False,1.8299999999999998,1.0115,-1.8099999999999998
0.01,0.35,LP,LL,False,False,1.85,-1.8315000000000001,0.99
0.01,0.35,LP,PL,False,False,1.8299999999999998,-1.8016999999999999,1.0013
0.01,0.35,LP,LP,True,False,1.1299999999999997,1.1186999999999996,1.1186999999999996
0.01,0.35,LP,PP,False,False,1.15,1.1484999999999999,1.1299999999999994
0.01,0.35,PP,LL,False,False,1.85,-1.84,1.0
0.01,0.35,PP,PL,False,False,1.8299999999999998,-1.8099999999999998,1.0115
0.01,0.35,PP,LP,False,False,1.15,1.1299999999999994,1.1484999999999999
0.01,0.35,PP,PP,True,True,0.0,1.16,1.16
0.01,0.4,LL,LL,True,True,0.0,0.0,0.0
0.01,0.4,LL,PL,False,False,0.7999999999999999,0.01,-0.008
0.01,0.4,LL,LP,False,False,1.8000000000000003,0.99,-1.7820000000000003
0.01,0.4,LL,PP,False,False,1.8000000000000003,1.0,-1.7900000000000003
0.01,0.4,PL,LL,False,False,0.7999999999999999,-0.008,0.01
0.01,0.4,PL,PL,True,False,0.7799999999999999,0.0022000000000000014,0.0022000000000000014
0.01,0.4,PL,LP,False,False,1.78,1.0018,-1.7522
0.01,0.4,PL,PP,False,False,1.78,1.012,-1.76
0.01,0.4,LP,LL,False,False,1.8000000000000003,-1.7820000000000003,0.99
0.01,0.4,LP,PL,False,False,1.78,-1.7522,1.0018
0.01,0.4,LP,LP,True,False,1.18,1.1682,1.1682
0.01,0.4,LP,PP,False,False,1.2000000000000002,1.1980000000000002,1.18
0.01,0.4,PP,LL,False,False,1.8000000000000003,-1.7900000000000003,1.0
0.01,0.4,PP,PL,False,False,1.78,-1.76,1.012
0.01,0.4,PP,LP,False,False,1.2000000000000002,1.18,1.1980000000000002
0.01,0.4,PP,PP,True,True,0.0,1.2100000000000002,1.2100000000000002
0.01,0.45,LL,LL,True,True,0.0,0.0,0.0
0.01,0.45,LL,PL,False,False,0.75,0.01,-0.0075
0.01,0.45,LL,LP,False,False,1.7500000000000002,0.99,-1.7325000000000002
0.01,0.45,LL,PP,False,False,1.7500000000000002,1.0,-1.7400000000000002
0.01,0.45,PL,LL,False,False,0.75,-0.0075,0.01
0.01,0.45,PL,PL,True,False,0.73,0.002700000000000001,0.002700000000000001
0.01,0.45,PL,LP,False,False,1.73,1.0023,-1.7026999999999999
0.01,0.45,PL,PP,False,False,1.73,1.0125,-1.71
0.01,0.45,LP,LL,False,False,1.7500000000000002,-1.7325000000000002,0.99
0.01,0.45,LP,PL,False,False,1.73,-1.7026999999999999,1.0023
0.01,0.45,LP,LP,True,False,1.2299999999999998,1.2176999999999998,1.2176999999999998
