p,c_low,c_high,analytical_threshold_p,computed_pl_pl_is_bne,analytical_pl_condition,agreement
0.01,0.0,1.2,0.5,False,False,True
0.02,0.0,1.2,0.5,False,False,True
0.03,0.0,1.2,0.5,False,False,True
0.04,0.0,1.2,0.5,False,False,True
0.05,0.0,1.2,0.5,False,False,True
0.06,0.0,1.2,0.5,False,False,True
0.07,0.0,1.2,0.5,False,False,True
0.08,0.0,1.2,0.5,False,False,True
0.09,0.0,1.2,0.5,False,False,True
0.1,0.0,1.2,0.5,False,False,True
0.11,0.0,1.2,0.5,False,False,True
0.12,0.0,1.2,0.5,False,False,True
0.13,0.0,1.2,0.5,False,False,True
0.14,0.0,1.2,0.5,False,False,True
0.15,0.0,1.2,0.5,False,False,True
0.16,0.0,1.2,0.5,False,False,True
0.17,0.0,1.2,0.5,False,False,True
0.18,0.0,1.2,0.5,False,False,True
0.19,0.0,1.2,0.5,False,False,True
0.2,0.0,1.2,0.5,False,False,True
0.21,0.0,1.2,0.5,False,False,True
0.22,0.0,1.2,0.5,False,False,True
0.23,0.0,1.2,0.5,False,False,True
0.24,0.0,1.2,0.5,False,False,True
0.25,0.0,1.2,0.5,False,False,True
0.26,0.0,1.2,0.5,False,False,True
0.27,0.0,1.2,0.5,False,False,True
0.28,0.0,1.2,0.5,False,False,True
0.29,0.0,1.2,0.5,False,False,True
0.3,0.0,1.2,0.5,False,False,True
0.31,0.0,1.2,0.5,False,False,True
0.32,0.0,1.2,0.5,False,False,True
0.33,0.0,1.2,0.5,False,False,True
0.34,0.0,1.2,0.5,False,False,True
0.35,0.0,1.2,0.5,False,False,True
0.36,0.0,1.2,0.5,False,False,True
0.37,0.0,1.2,0.5,False,False,True
0.38,0.0,1.2,0.5,False,False,True
0.39,0.0,1.2,0.5,False,False,True
0.4,0.0,1.2,0.5,False,False,True
0.41,0.0,1.2,0.5,False,False,True
0.42,0.0,1.2,0.5,False,False,True
0.43,0.0,1.2,0.5,False,False,True
0.44,0.0,1.2,0.5,False,False,True
0.45,0.0,1.2,0.5,False,False,True
0.46,0.0,1.2,0.5,False,False,True
0.47,0.0,1.2,0.5,False,False,True
0.48,0.0,1.2,0.5,False,False,True
0.49,0.0,1.2,0.5,False,False,True
0.5,0.0,1.2,0.5,True,True,True
0.51,0.0,1.2,0.5,True,True,True
0.52,0.0,1.2,0.5,True,True,True
0.53,0.0,1.2,0.5,True,True,True
0.54,0.0,1.2,0.5,True,True,True
0.55,0.0,1.2,0.5,True,True,True
0.56,0.0,1.2,0.5,True,True,True
0.57,0.0,1.2,0.5,True,True,True
0.58,0.0,1.2,0.5,True,True,True
0.59,0.0,1.2,0.5,True,True,True
0.6,0.0,1.2,0.5,True,True,True
0.61,0.0,1.2,0.5,True,True,True
0.62,0.0,1.2,0.5,True,True,True
0.63,0.0,1.2,0.5,True,True,True
0.64,0.0,1.2,0.5,True,True,True
0.65,0.0,1.2,0.5,True,True,True
0.66,0.0,1.2,0.5,True,True,True
0.67,0.0,1.2,0.5,True,True,True
0.68,0.0,1.2,0.5,True,True,True
0.69,0.0,1.2,0.5,True,True,True
0.7,0.0,1.2,0.5,True,True,True
0.71,0.0,1.2,0.5,True,True,True
0.72,0.0,1.2,0.5,True,True,True
0.73,0.0,1.2,0.5,True,True,True
0.74,0.0,1.2,0.5,True,True,True
0.75,0.0,1.2,0.5,True,True,True
0.76,0.0,1.2,0.5,True,True,True
0.77,0.0,1.2,0.5,True,True,True
0.78,0.0,1.2,0.5,True,True,True
0.79,0.0,1.2,0.5,True,True,True
0.8,0.0,1.2,0.5,True,True,True
0.81,0.0,1.2,0.5,True,True,True
0.82,0.0,1.2,0.5,True,True,True
0.83,0.0,1.2,0.5,True,True,True
0.84,0.0,1.2,0.5,True,True,True
0.85,0.0,1.2,0.5,True,True,True
0.86,0.0,1.2,0.5,True,True,True
0.87,0.0,1.2,0.5,True,True,True
0.88,0.0,1.2,0.5,True,True,True
0.89,0.0,1.2,0.5,True,True,True
0.9,0.0,1.2,0.5,True,True,True
0.91,0.0,1.2,0.5,True,True,True
0.92,0.0,1.2,0.5,True,True,True
0.93,0.0,1.2,0.5,True,True,True
0.94,0.0,1.2,0.5,True,True,True
0.95,0.0,1.2,0.5,True,True,True
0.96,0.0,1.2,0.5,True,True,True
0.97,0.0,1.2,0.5,True,True,True
0.98,0.0,1.2,0.5,True,True,True
0.99,0.0,1.2,0.5,True,True,True
0.01,0.05,1.2,0.525,False,False,True
0.02,0.05,1.2,0.525,False,False,True
0.03,0.05,1.2,0.525,False,False,True
0.04,0.05,1.2,0.525,False,False,True
0.05,0.05,1.2,0.525,False,False,True
0.06,0.05,1.2,0.525,False,False,True
0.07,0.05,1.2,0.525,False,False,True
0.08,0.05,1.2,0.525,False,False,True
0.09,0.05,1.2,0.525,False,False,True
0.1,0.05,1.2,0.525,False,False,True
