p,strategy_A,strategy_B,is_bne,symmetric,A_low_action,A_high_action,B_low_action,B_high_action,max_deviation_gain,expected_payoff_A,expected_payoff_B
0.01,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.01,LL,PL,False,False,L,L,P,L,1.2,0.01,-0.012
0.01,LL,LP,False,False,L,L,L,P,2.2,0.99,-2.178
0.01,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.19
0.01,PL,LL,False,False,P,L,L,L,1.2,-0.012,0.01
0.01,PL,PL,False,True,P,L,P,L,1.18,-0.0017999999999999995,-0.0017999999999999995
0.01,PL,LP,False,False,P,L,L,P,2.1799999999999997,0.9978,-2.1481999999999997
0.01,PL,PP,False,False,P,L,P,P,2.1799999999999997,1.008,-2.1599999999999997
0.01,LP,LL,False,False,L,P,L,L,2.2,-2.178,0.99
0.01,LP,PL,False,False,L,P,P,L,2.1799999999999997,-2.1481999999999997,0.9978
0.01,LP,LP,False,True,L,P,L,P,0.7799999999999998,0.7721999999999998,0.7721999999999998
0.01,LP,PP,False,False,L,P,P,P,0.8,0.802,0.7799999999999998
0.01,PP,LL,False,False,P,P,L,L,2.2,-2.19,1.0
0.01,PP,PL,False,False,P,P,P,L,2.1799999999999997,-2.1599999999999997,1.008
0.01,PP,LP,False,False,P,P,L,P,0.8,0.7799999999999998,0.802
0.01,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.81,0.81
0.02,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.02,LL,PL,False,False,L,L,P,L,1.2,0.02,-0.024
0.02,LL,LP,False,False,L,L,L,P,2.2,0.9799999999999999,-2.156
0.02,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.18
0.02,PL,LL,False,False,P,L,L,L,1.2,-0.024,0.02
0.02,PL,PL,False,True,P,L,P,L,1.16,-0.003199999999999998,-0.003199999999999998
0.02,PL,LP,False,False,P,L,L,P,2.1599999999999997,0.9951999999999999,-2.0967999999999996
0.02,PL,PP,False,False,P,L,P,P,2.1599999999999997,1.016,-2.1199999999999997
0.02,LP,LL,False,False,L,P,L,L,2.2,-2.156,0.9799999999999999
0.02,LP,PL,False,False,L,P,P,L,2.1599999999999997,-2.0967999999999996,0.9951999999999999
0.02,LP,LP,False,True,L,P,L,P,0.76,0.7447999999999999,0.7447999999999999
0.02,LP,PP,False,False,L,P,P,P,0.8,0.804,0.76
0.02,PP,LL,False,False,P,P,L,L,2.2,-2.18,1.0
0.02,PP,PL,False,False,P,P,P,L,2.1599999999999997,-2.1199999999999997,1.016
0.02,PP,LP,False,False,P,P,L,P,0.8,0.76,0.804
0.02,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.8200000000000001,0.8200000000000001
0.03,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.03,LL,PL,False,False,L,L,P,L,1.2,0.03,-0.036
0.03,LL,LP,False,False,L,L,L,P,2.2,0.97,-2.134
0.03,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.17
0.03,PL,LL,False,False,P,L,L,L,1.2,-0.036,0.03
0.03,PL,PL,False,True,P,L,P,L,1.1400000000000001,-0.004200000000000006,-0.004200000000000006
0.03,PL,LP,False,False,P,L,L,P,2.1399999999999997,0.9922,-2.0458
0.03,PL,PP,False,False,P,L,P,P,2.1399999999999997,1.024,-2.08
0.03,LP,LL,False,False,L,P,L,L,2.2,-2.134,0.97
0.03,LP,PL,False,False,L,P,P,L,2.1399999999999997,-2.0458,0.9922
0.03,LP,LP,False,True,L,P,L,P,0.7400000000000002,0.7178000000000002,0.7178000000000002
0.03,LP,PP,False,False,L,P,P,P,0.8,0.806,0.7400000000000002
0.03,PP,LL,False,False,P,P,L,L,2.2,-2.17,1.0
0.03,PP,PL,False,False,P,P,P,L,2.1399999999999997,-2.08,1.024
0.03,PP,LP,False,False,P,P,L,P,0.8,0.7400000000000002,0.806
0.03,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.8300000000000001,0.8300000000000001
0.04,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.04,LL,PL,False,False,L,L,P,L,1.2,0.039999999999999994,-0.048
0.04,LL,LP,False,False,L,L,L,P,2.2,0.96,-2.112
0.04,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.16
0.04,PL,LL,False,False,P,L,L,L,1.2,-0.048,0.039999999999999994
0.04,PL,PL,False,True,P,L,P,L,1.12,-0.004800000000000006,-0.004800000000000006
0.04,PL,LP,False,False,P,L,L,P,2.12,0.9888,-1.9951999999999999
0.04,PL,PP,False,False,P,L,P,P,2.12,1.032,-2.04
0.04,LP,LL,False,False,L,P,L,L,2.2,-2.112,0.96
0.04,LP,PL,False,False,L,P,P,L,2.12,-1.9951999999999999,0.9888
0.04,LP,LP,False,True,L,P,L,P,0.72,0.6911999999999999,0.6911999999999999
0.04,LP,PP,False,False,L,P,P,P,0.8,0.808,0.72
0.04,PP,LL,False,False,P,P,L,L,2.2,-2.16,1.0
0.04,PP,PL,False,False,P,P,P,L,2.12,-2.04,1.032
0.04,PP,LP,False,False,P,P,L,P,0.8,0.72,0.808
0.04,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.8400000000000001,0.8400000000000001
0.05,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.05,LL,PL,False,False,L,L,P,L,1.2,0.05,-0.06
0.05,LL,LP,False,False,L,L,L,P,2.2,0.95,-2.09
0.05,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.15
0.05,PL,LL,False,False,P,L,L,L,1.2,-0.06,0.05
0.05,PL,PL,False,True,P,L,P,L,1.1,-0.0050000000000000044,-0.0050000000000000044
0.05,PL,LP,False,False,P,L,L,P,2.0999999999999996,0.985,-1.9449999999999998
0.05,PL,PP,False,False,P,L,P,P,2.0999999999999996,1.04,-1.9999999999999998
0.05,LP,LL,False,False,L,P,L,L,2.2,-2.09,0.95
0.05,LP,PL,False,False,L,P,P,L,2.0999999999999996,-1.9449999999999998,0.985
0.05,LP,LP,False,True,L,P,L,P,0.6999999999999997,0.6649999999999997,0.6649999999999997
0.05,LP,PP,False,False,L,P,P,P,0.8,0.81,0.6999999999999997
0.05,PP,LL,False,False,P,P,L,L,2.2,-2.15,1.0
0.05,PP,PL,False,False,P,P,P,L,2.0999999999999996,-1.9999999999999998,1.04
0.05,PP,LP,False,False,P,P,L,P,0.8,0.6999999999999997,0.81
0.05,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.85,0.85
0.06,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.06,LL,PL,False,False,L,L,P,L,1.2,0.05999999999999999,-0.072
0.06,LL,LP,False,False,L,L,L,P,2.2,0.94,-2.068
0.06,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.14
0.06,PL,LL,False,False,P,L,L,L,1.2,-0.072,0.05999999999999999
0.06,PL,PL,False,True,P,L,P,L,1.08,-0.004800000000000006,-0.004800000000000006
0.06,PL,LP,False,False,P,L,L,P,2.08,0.9807999999999999,-1.8951999999999998
0.06,PL,PP,False,False,P,L,P,P,2.08,1.048,-1.9599999999999997
0.06,LP,LL,False,False,L,P,L,L,2.2,-2.068,0.94
0.06,LP,PL,False,False,L,P,P,L,2.08,-1.8951999999999998,0.9807999999999999
0.06,LP,LP,False,True,L,P,L,P,0.6799999999999999,0.6391999999999999,0.6391999999999999
0.06,LP,PP,False,False,L,P,P,P,0.8,0.812,0.6799999999999998
0.06,PP,LL,False,False,P,P,L,L,2.2,-2.14,1.0
0.06,PP,PL,False,False,P,P,P,L,2.08,-1.9599999999999997,1.048
0.06,PP,LP,False,False,P,P,L,P,0.8,0.6799999999999998,0.812
0.06,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.86,0.86
0.07,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.07,LL,PL,False,False,L,L,P,L,1.2,0.07,-0.084
0.07,LL,LP,False,False,L,L,L,P,2.2,0.9299999999999999,-2.046
0.07,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.13
0.07,PL,LL,False,False,P,L,L,L,1.2,-0.084,0.07
0.07,PL,PL,False,True,P,L,P,L,1.06,-0.004199999999999995,-0.004199999999999995
0.07,PL,LP,False,False,P,L,L,P,2.06,0.9762,-1.8457999999999999
0.07,PL,PP,False,False,P,L,P,P,2.06,1.056,-1.9199999999999997
0.07,LP,LL,False,False,L,P,L,L,2.2,-2.046,0.9299999999999999
0.07,LP,PL,False,False,L,P,P,L,2.06,-1.8457999999999999,0.9762
0.07,LP,LP,False,True,L,P,L,P,0.6600000000000001,0.6138000000000001,0.6138000000000001
0.07,LP,PP,False,False,L,P,P,P,0.8,0.8140000000000001,0.6600000000000001
0.07,PP,LL,False,False,P,P,L,L,2.2,-2.13,1.0
0.07,PP,PL,False,False,P,P,P,L,2.06,-1.9199999999999997,1.056
0.07,PP,LP,False,False,P,P,L,P,0.8,0.6600000000000001,0.8140000000000001
0.07,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.87,0.87
0.08,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.08,LL,PL,False,False,L,L,P,L,1.2,0.08,-0.096
0.08,LL,LP,False,False,L,L,L,P,2.2,0.92,-2.0240000000000005
0.08,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.1200000000000006
0.08,PL,LL,False,False,P,L,L,L,1.2,-0.096,0.08
0.08,PL,PL,False,True,P,L,P,L,1.04,-0.0031999999999999945,-0.0031999999999999945
0.08,PL,LP,False,False,P,L,L,P,2.04,0.9712000000000001,-1.7968000000000002
0.08,PL,PP,False,False,P,L,P,P,2.04,1.064,-1.8800000000000001
0.08,LP,LL,False,False,L,P,L,L,2.2,-2.0240000000000005,0.92
0.08,LP,PL,False,False,L,P,P,L,2.04,-1.7968000000000002,0.9712000000000001
0.08,LP,LP,False,True,L,P,L,P,0.6400000000000002,0.5888000000000003,0.5888000000000003
0.08,LP,PP,False,False,L,P,P,P,0.8,0.8160000000000001,0.6400000000000003
0.08,PP,LL,False,False,P,P,L,L,2.2,-2.1200000000000006,1.0
0.08,PP,PL,False,False,P,P,P,L,2.04,-1.8800000000000001,1.064
0.08,PP,LP,False,False,P,P,L,P,0.8,0.6400000000000003,0.8160000000000001
0.08,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.8800000000000001,0.8800000000000001
0.09,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.09,LL,PL,False,False,L,L,P,L,1.2,0.09,-0.108
0.09,LL,LP,False,False,L,L,L,P,2.2,0.91,-2.0020000000000002
0.09,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.1100000000000003
0.09,PL,LL,False,False,P,L,L,L,1.2,-0.108,0.09
0.09,PL,PL,False,True,P,L,P,L,1.02,-0.001799999999999996,-0.001799999999999996
0.09,PL,LP,False,False,P,L,L,P,2.02,0.9658,-1.7482
0.09,PL,PP,False,False,P,L,P,P,2.02,1.072,-1.8399999999999999
0.09,LP,LL,False,False,L,P,L,L,2.2,-2.0020000000000002,0.91
0.09,LP,PL,False,False,L,P,P,L,2.02,-1.7482,0.9658
0.09,LP,LP,False,True,L,P,L,P,0.62,0.5642,0.5642
0.09,LP,PP,False,False,L,P,P,P,0.8,0.8180000000000001,0.6200000000000001
0.09,PP,LL,False,False,P,P,L,L,2.2,-2.1100000000000003,1.0
0.09,PP,PL,False,False,P,P,P,L,2.02,-1.8399999999999999,1.072
0.09,PP,LP,False,False,P,P,L,P,0.8,0.6200000000000001,0.8180000000000001
0.09,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.8900000000000001,0.8900000000000001
0.1,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.1,LL,PL,False,False,L,L,P,L,1.2,0.1,-0.12
0.1,LL,LP,False,False,L,L,L,P,2.2,0.9,-1.9800000000000002
0.1,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.1
0.1,PL,LL,False,False,P,L,L,L,1.2,-0.12,0.1
0.1,PL,PL,False,True,P,L,P,L,0.9999999999999999,1.3877787807814457e-17,1.3877787807814457e-17
0.1,PL,LP,False,False,P,L,L,P,2.0,0.9600000000000001,-1.7
0.1,PL,PP,False,False,P,L,P,P,2.0,1.08,-1.8
0.1,LP,LL,False,False,L,P,L,L,2.2,-1.9800000000000002,0.9
0.1,LP,PL,False,False,L,P,P,L,2.0,-1.7,0.9600000000000001
0.1,LP,LP,False,True,L,P,L,P,0.6000000000000002,0.5400000000000003,0.5400000000000003
0.1,LP,PP,False,False,L,P,P,P,0.8,0.8200000000000001,0.6000000000000003
0.1,PP,LL,False,False,P,P,L,L,2.2,-2.1,1.0
0.1,PP,PL,False,False,P,P,P,L,2.0,-1.8,1.08
0.1,PP,LP,False,False,P,P,L,P,0.8,0.6000000000000003,0.8200000000000001
0.1,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9000000000000001,0.9000000000000001
0.11,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.11,LL,PL,False,False,L,L,P,L,1.2,0.11,-0.132
0.11,LL,LP,False,False,L,L,L,P,2.2,0.89,-1.9580000000000002
0.11,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0900000000000003
0.11,PL,LL,False,False,P,L,L,L,1.2,-0.132,0.11
0.11,PL,PL,False,True,P,L,P,L,0.9799999999999999,0.0022000000000000075,0.0022000000000000075
0.11,PL,LP,False,False,P,L,L,P,1.98,0.9538,-1.6522
0.11,PL,PP,False,False,P,L,P,P,1.98,1.088,-1.7599999999999998
0.11,LP,LL,False,False,L,P,L,L,2.2,-1.9580000000000002,0.89
0.11,LP,PL,False,False,L,P,P,L,1.98,-1.6522,0.9538
0.11,LP,LP,False,True,L,P,L,P,0.58,0.5162,0.5162
0.11,LP,PP,False,False,L,P,P,P,0.8,0.8220000000000001,0.5800000000000001
0.11,PP,LL,False,False,P,P,L,L,2.2,-2.0900000000000003,1.0
0.11,PP,PL,False,False,P,P,P,L,1.98,-1.7599999999999998,1.088
0.11,PP,LP,False,False,P,P,L,P,0.8,0.5800000000000001,0.8220000000000001
0.11,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.9100000000000001,0.9100000000000001
0.12,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.12,LL,PL,False,False,L,L,P,L,1.2,0.12,-0.144
0.12,LL,LP,False,False,L,L,L,P,2.2,0.88,-1.9360000000000002
0.12,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.08
0.12,PL,LL,False,False,P,L,L,L,1.2,-0.144,0.12
0.12,PL,PL,False,True,P,L,P,L,0.9600000000000001,0.004799999999999999,0.004799999999999999
0.12,PL,LP,False,False,P,L,L,P,1.96,0.9472,-1.6048
0.12,PL,PP,False,False,P,L,P,P,1.96,1.096,-1.72
0.12,LP,LL,False,False,L,P,L,L,2.2,-1.9360000000000002,0.88
0.12,LP,PL,False,False,L,P,P,L,1.96,-1.6048,0.9472
0.12,LP,LP,False,True,L,P,L,P,0.5600000000000002,0.4928000000000001,0.4928000000000001
0.12,LP,PP,False,False,L,P,P,P,0.8,0.8240000000000001,0.5600000000000002
0.12,PP,LL,False,False,P,P,L,L,2.2,-2.08,1.0
0.12,PP,PL,False,False,P,P,P,L,1.96,-1.72,1.096
0.12,PP,LP,False,False,P,P,L,P,0.8,0.5600000000000002,0.8240000000000001
0.12,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.92,0.92
0.13,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.13,LL,PL,False,False,L,L,P,L,1.2,0.13,-0.156
0.13,LL,LP,False,False,L,L,L,P,2.2,0.87,-1.9140000000000001
0.13,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.0700000000000003
0.13,PL,LL,False,False,P,L,L,L,1.2,-0.156,0.13
0.13,PL,PL,False,True,P,L,P,L,0.9400000000000001,0.007800000000000001,0.007800000000000001
0.13,PL,LP,False,False,P,L,L,P,1.94,0.9402,-1.5578
0.13,PL,PP,False,False,P,L,P,P,1.94,1.104,-1.68
0.13,LP,LL,False,False,L,P,L,L,2.2,-1.9140000000000001,0.87
0.13,LP,PL,False,False,L,P,P,L,1.94,-1.5578,0.9402
0.13,LP,LP,False,True,L,P,L,P,0.5399999999999999,0.4697999999999999,0.4697999999999999
0.13,LP,PP,False,False,L,P,P,P,0.8,0.8260000000000001,0.5399999999999999
0.13,PP,LL,False,False,P,P,L,L,2.2,-2.0700000000000003,1.0
0.13,PP,PL,False,False,P,P,P,L,1.94,-1.68,1.104
0.13,PP,LP,False,False,P,P,L,P,0.8,0.5399999999999999,0.8260000000000001
0.13,PP,PP,False,True,P,P,P,P,0.19999999999999996,0.93,0.93
0.14,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.14,LL,PL,False,False,L,L,P,L,1.2,0.14,-0.168
0.14,LL,LP,False,False,L,L,L,P,2.2,0.8599999999999999,-1.8920000000000001
0.14,LL,PP,False,False,L,L,P,P,2.2,1.0,-2.06
0.14,PL,LL,False,False,P,L,L,L,1.2,-0.168,0.14
0.14,PL,PL,False,True,P,L,P,L,0.92,0.011199999999999988,0.011199999999999988
0.14,PL,LP,False,False,P,L,L,P,1.92,0.9328,-1.5111999999999997
0.14,PL,PP,False,False,P,L,P,P,1.92,1.112,-1.6399999999999997
0.14,LP,LL,False,False,L,P,L,L,2.2,-1.8920000000000001,0.8599999999999999
0.14,LP,PL,False,False,L,P,P,L,1.92,-1.5111999999999997,0.9328
0.14,LP,LP,False,True,L,P,L,P,0.5200000000000001,0.4472000000000001,0.4472000000000001
