strategy_A,strategy_B,strategy_profile,m,expected_platform_payoff_A,expected_platform_payoff_B,expected_user_mobility_payoff,expected_total_platform_payoff,expected_social_welfare,phase2_pure_bne_at_benchmark,welfare_rank_at_m
LL,LL,"(LL,LL)",0.0,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.0,0.8399999999999999,0.8399999999999999,0.0,1.6799999999999997,1.6799999999999997,True,2
PP,PP,"(PP,PP)",0.0,1.5,1.5,0.0,3.0,3.0,False,1
LL,LL,"(LL,LL)",0.1,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.1,0.8399999999999999,0.8399999999999999,0.048999999999999995,1.6799999999999997,1.7289999999999996,True,2
PP,PP,"(PP,PP)",0.1,1.5,1.5,0.10000000000000002,3.0,3.1,False,1
LL,LL,"(LL,LL)",0.2,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.2,0.8399999999999999,0.8399999999999999,0.09799999999999999,1.6799999999999997,1.7779999999999998,True,2
PP,PP,"(PP,PP)",0.2,1.5,1.5,0.20000000000000004,3.0,3.2,False,1
LL,LL,"(LL,LL)",0.3,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.3,0.8399999999999999,0.8399999999999999,0.14699999999999996,1.6799999999999997,1.8269999999999997,True,2
PP,PP,"(PP,PP)",0.3,1.5,1.5,0.3,3.0,3.3,False,1
LL,LL,"(LL,LL)",0.4,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.4,0.8399999999999999,0.8399999999999999,0.19599999999999998,1.6799999999999997,1.8759999999999997,True,2
PP,PP,"(PP,PP)",0.4,1.5,1.5,0.4000000000000001,3.0,3.4,False,1
LL,LL,"(LL,LL)",0.5,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.5,0.8399999999999999,0.8399999999999999,0.24499999999999997,1.6799999999999997,1.9249999999999996,True,2
PP,PP,"(PP,PP)",0.5,1.5,1.5,0.5,3.0,3.5,False,1
LL,LL,"(LL,LL)",0.6,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.6,0.8399999999999999,0.8399999999999999,0.29399999999999993,1.6799999999999997,1.9739999999999998,True,2
PP,PP,"(PP,PP)",0.6,1.5,1.5,0.6,3.0,3.6,False,1
LL,LL,"(LL,LL)",0.7,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.7,0.8399999999999999,0.8399999999999999,0.3429999999999999,1.6799999999999997,2.0229999999999997,True,2
PP,PP,"(PP,PP)",0.7,1.5,1.5,0.7,3.0,3.7,False,1
LL,LL,"(LL,LL)",0.8,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.8,0.8399999999999999,0.8399999999999999,0.39199999999999996,1.6799999999999997,2.0719999999999996,True,2
PP,PP,"(PP,PP)",0.8,1.5,1.5,0.8000000000000002,3.0,3.8000000000000003,False,1
LL,LL,"(LL,LL)",0.9,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",0.9,0.8399999999999999,0.8399999999999999,0.44099999999999995,1.6799999999999997,2.1209999999999996,True,2
PP,PP,"(PP,PP)",0.9,1.5,1.5,0.9000000000000001,3.0,3.9000000000000004,False,1
LL,LL,"(LL,LL)",1.0,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.0,0.8399999999999999,0.8399999999999999,0.48999999999999994,1.6799999999999997,2.1699999999999995,True,2
PP,PP,"(PP,PP)",1.0,1.5,1.5,1.0,3.0,4.0,False,1
LL,LL,"(LL,LL)",1.1,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.1,0.8399999999999999,0.8399999999999999,0.5389999999999999,1.6799999999999997,2.2189999999999994,True,2
PP,PP,"(PP,PP)",1.1,1.5,1.5,1.1,3.0,4.1,False,1
LL,LL,"(LL,LL)",1.2,0.0,0.0,0.0,0.0,0.0,True,3
PL,PL,"(PL,PL)",1.2,0.8399999999999999,0.8399999999999999,0.5879999999999999,1.6799999999999997,2.268,True,2
