p,q_star,x_star,x_star_exact,interior_mixed_exists,high_type_prefers_locked,collapses_to_boundary_pure_pl,status
0.01,0.6,60.0,60,False,True,False,infeasible_x_above_one
0.02,0.6,30.0,30,False,True,False,infeasible_x_above_one
0.03,0.6,20.0,20,False,True,False,infeasible_x_above_one
0.04,0.6,15.0,15,False,True,False,infeasible_x_above_one
0.05,0.6,11.999999999999998,12,False,True,False,infeasible_x_above_one
0.06,0.6,10.0,10,False,True,False,infeasible_x_above_one
0.07,0.6,8.571428571428571,60/7,False,True,False,infeasible_x_above_one
0.08,0.6,7.5,15/2,False,True,False,infeasible_x_above_one
0.09,0.6,6.666666666666667,20/3,False,True,False,infeasible_x_above_one
0.1,0.6,5.999999999999999,6,False,True,False,infeasible_x_above_one
0.11,0.6,5.454545454545454,60/11,False,True,False,infeasible_x_above_one
0.12,0.6,5.0,5,False,True,False,infeasible_x_above_one
0.13,0.6,4.615384615384615,60/13,False,True,False,infeasible_x_above_one
0.14,0.6,4.285714285714286,30/7,False,True,False,infeasible_x_above_one
0.15,0.6,4.0,4,False,True,False,infeasible_x_above_one
0.16,0.6,3.75,15/4,False,True,False,infeasible_x_above_one
0.17,0.6,3.529411764705882,60/17,False,True,False,infeasible_x_above_one
0.18,0.6,3.3333333333333335,10/3,False,True,False,infeasible_x_above_one
0.19,0.6,3.1578947368421053,60/19,False,True,False,infeasible_x_above_one
0.2,0.6,2.9999999999999996,3,False,True,False,infeasible_x_above_one
0.21,0.6,2.857142857142857,20/7,False,True,False,infeasible_x_above_one
0.22,0.6,2.727272727272727,30/11,False,True,False,infeasible_x_above_one
0.23,0.6,2.6086956521739126,60/23,False,True,False,infeasible_x_above_one
0.24,0.6,2.5,5/2,False,True,False,infeasible_x_above_one
0.25,0.6,2.4,12/5,False,True,False,infeasible_x_above_one
0.26,0.6,2.3076923076923075,30/13,False,True,False,infeasible_x_above_one
0.27,0.6,2.222222222222222,20/9,False,True,False,infeasible_x_above_one
0.28,0.6,2.142857142857143,15/7,False,True,False,infeasible_x_above_one
0.29,0.6,2.0689655172413794,60/29,False,True,False,infeasible_x_above_one
0.3,0.6,2.0,2,False,True,False,infeasible_x_above_one
0.31,0.6,1.9354838709677418,60/31,False,True,False,infeasible_x_above_one
0.32,0.6,1.875,15/8,False,True,False,infeasible_x_above_one
0.33,0.6,1.8181818181818181,20/11,False,True,False,infeasible_x_above_one
0.34,0.6,1.764705882352941,30/17,False,True,False,infeasible_x_above_one
0.35,0.6,1.7142857142857144,12/7,False,True,False,infeasible_x_above_one
0.36,0.6,1.6666666666666667,5/3,False,True,False,infeasible_x_above_one
0.37,0.6,1.6216216216216215,60/37,False,True,False,infeasible_x_above_one
0.38,0.6,1.5789473684210527,30/19,False,True,False,infeasible_x_above_one
0.39,0.6,1.5384615384615383,20/13,False,True,False,infeasible_x_above_one
0.4,0.6,1.4999999999999998,3/2,False,True,False,infeasible_x_above_one
0.41,0.6,1.4634146341463414,60/41,False,True,False,infeasible_x_above_one
0.42,0.6,1.4285714285714286,10/7,False,True,False,infeasible_x_above_one
0.43,0.6,1.3953488372093024,60/43,False,True,False,infeasible_x_above_one
0.44,0.6,1.3636363636363635,15/11,False,True,False,infeasible_x_above_one
0.45,0.6,1.3333333333333333,4/3,False,True,False,infeasible_x_above_one
0.46,0.6,1.3043478260869563,30/23,False,True,False,infeasible_x_above_one
0.47,0.6,1.2765957446808511,60/47,False,True,False,infeasible_x_above_one
